what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094013718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094015262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1296094015262
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1296094019318
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296094019584
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094020972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094021237
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1296094022454
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1296094028616
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094037414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094042297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094059057
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094063644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094073020
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094081974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094085562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094087450
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094227722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094235164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094237223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094246148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094249504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094251641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094262474
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094312145
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094317777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094324503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094364082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094367810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094369620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094375941
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094377735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094391704
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1296094423123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094425494
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1296094442982
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1296094511093
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1296094511140
